StudentID,CompleteDevMath_14Term6,CompleteDevEnglish_14Term6,Major1_14Term6,Major2_14Term6,Complete1_14Term6,Complete2_14Term6,CompleteCIP1_14Term6,CompleteCIP2_14Term6,TransferIntent_14Term6,DegreeTypeSought_14Term6,TermGPA_14Term6,CumGPA_14Term6
299788,0,0,52.0301,-1,0,0,-2,-2,-1,6,3.5,2.4
283028,-2,-2,11.0101,-1,8,0,11.0101,-2,-1,6,4,2.88
299668,-2,-2,51,-1,0,0,-2,-2,-1,6,0,2.63
299020,0,0,43.0199,-1,0,0,-2,-2,-1,6,3,2.61
268879,-2,-2,51.3899,-1,0,0,-2,-2,-1,6,4,4
299243,0,0,52.1401,-1,0,0,-2,-2,-1,6,3,2.38
304905,0,0,52.0201,-1,0,0,-2,-2,-1,6,3.65,3.23
302116,-2,-2,51,-1,8,0,51,-2,-1,6,4,3.06
305226,-2,-2,43.0399,-1,8,0,43.0399,-2,-1,6,4,3.53
301493,-2,-2,26.0101,-1,0,0,-2,-2,-1,6,2.7,2.09
301764,0,0,52.0301,-1,0,0,-2,-2,-1,6,3.7,3.58
302827,1,-2,50.0901,-1,0,0,-2,-2,-1,6,2.7,2.69
301130,-2,0,26.0101,-1,0,0,-2,-2,-1,6,2.3,3.26
277702,-2,-2,45.1101,-1,7,0,45.1101,-2,-1,6,2.85,2.96
297513,0,0,52.0801,-1,8,0,52.0801,-2,-1,6,3.85,3.15
300416,0,0,52.0201,-1,0,0,-2,-2,-1,6,4,3.42
304610,-2,-2,11.0101,-1,8,0,11.0101,-2,-1,6,4,4
304223,-2,-2,52.0201,-1,0,0,-2,-2,-1,6,0,2.59
303486,-2,-2,27.0101,-1,0,0,-2,-2,-1,6,1.7,3.17
303060,0,0,52.0301,-1,0,0,-2,-2,-1,6,4,2.97
302547,0,-2,23.0101,-1,0,0,-2,-2,-1,6,3.7,3.2
296689,0,0,43.0199,-1,8,0,43.0199,-2,-1,6,3,3.66
297388,-2,0,26.0101,-1,0,0,-2,-2,-1,6,4,3.53
301787,0,0,43.0199,-1,0,0,-2,-2,-1,6,3.7,3.34
297161,0,-2,26.0101,-1,0,0,-2,-2,-1,6,3,3.64
300561,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,3.35,3.11
281128,0,-2,52.0301,-1,0,0,-2,-2,-1,6,0,2.71
296824,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.3,2.66
283839,0,0,23.0101,-1,0,0,-2,-2,-1,6,3.3,3.19
304862,-2,-2,43.0199,-1,0,0,-2,-2,-1,6,1.35,2.18
298740,0,0,43.0399,-1,0,0,-2,-2,-1,6,4,2.93
280240,0,0,0,-1,0,0,-2,-2,-1,6,0,1.67
301345,0,0,43.0203,-1,0,0,-2,-2,-1,6,4,3
298838,0,0,52.0201,-1,8,0,52.0201,-2,-1,6,3,2.75
300305,-2,0,26.0101,-1,0,0,-2,-2,-1,6,3,2.55
45090,-2,-2,9.0101,-1,7,0,9.0101,-2,-1,6,4,3.37
302497,-2,-2,52.0201,-1,8,0,52.0201,-2,-1,6,3.3,3.15
302716,0,0,43.0203,-1,8,0,43.0203,-2,-1,6,4,3.95
303937,0,-2,27.0101,-1,7,0,27.0101,-2,-1,6,3.3,3.58
304909,-2,0,27.0101,-1,0,0,-2,-2,-1,6,3.7,3.38
305271,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,2.3,2.97
299944,0,-2,54.0101,-1,0,0,-2,-2,-1,6,0,3.44
303171,-2,-2,50.0901,-1,0,0,-2,-2,-1,6,3.7,2.84
298215,0,-2,26.0101,-1,0,0,-2,-2,-1,6,2.57,2.82
301298,0,-2,42.0101,-1,7,0,42.0101,-2,-1,6,4,3.27
300835,0,0,26.0101,-1,0,0,-2,-2,-1,6,2.74,2.78
303351,-2,-2,52.0301,-1,0,0,-2,-2,-1,6,3,3.17
297816,0,-2,50.0701,-1,0,0,-2,-2,-1,6,3.7,3.55
298495,-2,0,42.0101,-1,0,0,-2,-2,-1,6,1,3.69
301481,0,0,26.0101,-1,0,0,-2,-2,-1,6,1,2.71
300271,0,0,42.0101,-1,0,0,-2,-2,-1,6,2.7,2.16
295078,0,0,26.0101,-1,0,0,-2,-2,-1,6,0,1.73
300099,-2,0,26.0101,13.1209,0,0,-2,-2,-1,6,2.65,3.28
303640,-2,-2,51.3801,-1,8,0,51.3801,-2,-1,6,3.3,3.24
304702,0,0,42.0101,-1,0,0,-2,-2,-1,6,3.7,2.53
